side,entry_date,entry_price_a,entry_price_b,beta,entry_equity,exit_date,exit_price_a,exit_price_b,exit_equity,pnl,return,forced_close
long_spread,2020-03-30,37.50504302978516,104.27662658691406,0.3532211254762194,99801.79265392484,2020-06-04,39.93870162963867,109.34877014160156,101355.02843242246,1553.2357784976193,0.015563205200969266,False
short_spread,2020-09-08,41.89105987548828,114.33565521240234,0.3532211254762194,101158.62177922194,2020-10-02,41.84863662719727,116.4528350830078,102855.09331926813,1696.4715400461864,0.01677040978028274,False
short_spread,2020-11-10,45.76559066772461,119.5400390625,0.3532211254762194,102662.83171721936,2020-12-01,44.46676254272461,123.20922088623048,108154.51726856492,5491.685551345552,0.053492441806711304,False
long_spread,2021-01-08,43.64646530151367,122.48138427734376,0.3532211254762194,107955.39581140805,2021-02-12,43.31320571899414,113.72303771972656,114265.86462863265,6310.46881722461,0.05845440859897953,False
short_spread,2021-02-23,43.1850471496582,112.7970962524414,0.3532211254762194,114073.60510845509,2021-05-10,47.30962371826172,125.6344223022461,114763.58224401594,689.9771355608536,0.006048525729548569,False
long_spread,2021-06-30,46.97163009643555,127.8029327392578,0.3532211254762194,114567.47594400326,2021-08-11,49.24599075317383,133.72857666015625,114719.10014837733,151.624204374064,0.0013234489380578901,False
long_spread,2021-09-20,47.28240966796875,133.4033203125,0.3532211254762194,114519.4417949348,2021-12-20,50.71638488769531,148.12783813476562,110427.71452011888,-4091.7272748159157,-0.035729542605899195,False
short_spread,2022-02-08,54.64748001098633,150.40106201171875,0.3532211254762194,110230.50082904674,2022-05-19,53.28947830200195,141.86785888671875,106687.71966592054,-3542.781163126201,-0.03213975384744552,False
long_spread,2022-07-08,56.48345184326172,152.31918334960938,0.3532211254762194,106492.4663631945,2022-11-14,54.72361373901367,157.66978454589844,99041.87939161518,-7450.586971579323,-0.0699635122184978,False
long_spread,2023-05-02,58.53385162353516,173.7520751953125,0.3532211254762194,98837.02911805204,2023-07-20,57.48695373535156,172.2810821533203,97678.1338503125,-1158.8952677395428,-0.011725314672857532,False
short_spread,2023-08-16,55.72705841064453,164.9184112548828,0.3532211254762194,97473.60174598727,2023-09-08,53.74602508544922,161.55111694335938,98737.52653036907,1263.9247843818011,0.012966841911469981,False
short_spread,2023-10-23,50.225345611572266,146.71299743652344,0.3532211254762194,98534.3472899965,2024-02-07,56.1577377319336,158.35023498535156,94781.18652711909,-3753.1607628774073,-0.03808987288291947,False
short_spread,2024-02-22,57.24363708496094,155.37660217285156,0.3532211254762194,94585.31159483497,2024-03-19,56.83339309692383,159.86573791503906,97871.93593007686,3286.6243352418824,0.034747724354077775,False
long_spread,2024-04-19,56.77677536010742,162.03387451171875,0.3532211254762194,97671.13100208067,2024-04-24,58.078948974609375,165.08602905273438,97856.9134666118,185.78246453113388,0.00190212258857918,False
short_spread,2024-06-03,59.381134033203125,159.33531188964844,0.3532211254762194,97662.13488228519,2024-10-11,66.6095962524414,165.19769287109375,88968.65753142339,-8693.477350861795,-0.08901584387173471,False
long_spread,2024-11-15,59.1127815246582,149.89794921875,0.3532211254762194,88779.08786313169,2024-12-18,60.63195037841797,147.18096923828125,92748.01429828086,3968.926435149173,0.04470564555999899,False
