side,entry_date,entry_price_a,entry_price_b,beta,entry_equity,exit_date,exit_price_a,exit_price_b,exit_equity,pnl,return,forced_close
long_spread,2018-04-30,54.11269760131836,88.59375762939453,0.9108268012966697,99750.87868013722,2018-05-30,57.29758071899414,89.40204620361328,103757.29572870949,4006.4170485722716,0.040164228140980224,
short_spread,2018-07-18,57.80376434326172,86.80912017822266,0.9108268012966697,103520.50866275688,2018-07-30,57.46628952026367,91.30921936035156,110847.84529254648,7327.336629789599,0.07078149754518857,
short_spread,2018-09-07,58.12295150756836,82.64380645751953,0.9108268012966697,110618.33673881642,2018-10-05,60.616058349609375,90.38174438476562,117896.65527840267,7278.318539586253,0.06579667308478217,
short_spread,2018-11-02,58.20819091796875,82.73757934570312,0.9108268012966697,117667.18964211675,2018-11-06,58.23658752441406,85.74476623535156,122086.18321602624,4418.993573909494,0.03755501926535177,
long_spread,2019-02-05,54.23503112792969,87.0051040649414,0.9108268012966697,121840.06625253626,2019-03-01,58.03639602661133,89.7552719116211,123991.30894051044,2151.2426879741834,0.017656282979322514,
long_spread,2019-03-18,58.81990051269531,92.5870132446289,0.9108268012966697,123747.93784946782,2019-04-15,58.5079460144043,88.36515808105469,129423.35454985507,5675.416700387243,0.04586271738354992,
short_spread,2019-04-16,58.90694808959961,89.12273406982422,0.9108268012966697,129185.55183314979,2019-05-08,55.743980407714844,86.42337799072266,130290.70209210175,1105.150258951966,0.008554751233940837,
long_spread,2019-08-12,51.727718353271484,90.28184509277344,0.9108268012966697,130031.73292276895,2019-08-21,51.79458236694336,88.45598602294922,133117.4885572282,3085.7556344592595,0.02373078913200375,
long_spread,2019-09-19,53.73353958129883,92.79325866699219,0.9108268012966697,132860.196505314,2019-09-30,52.45576477050781,88.99627685546875,136754.65670278796,3894.4601974739635,0.02931246754040588,
short_spread,2019-10-03,50.501953125,84.90665435791016,0.9108268012966697,136501.5235037487,2019-10-23,51.816871643066406,88.5310287475586,140158.58798313397,3657.06447938527,0.02679138214369334,
long_spread,2019-11-14,51.501956939697266,91.51760864257812,0.9108268012966697,139896.73648137483,2019-12-03,51.03580093383789,87.81958770751953,145241.7756028049,5345.039121430076,0.03820703224296936,
