side,entry_date,entry_price_a,entry_price_b,beta,entry_equity,exit_date,exit_price_a,exit_price_b,exit_equity,pnl,return,forced_close
long_spread,2018-06-15,16.226688385009766,24.17835235595703,0.6406257689482813,99804.54444429802,2018-06-21,16.45351219177246,23.977190017700195,101784.63095875758,1980.086514459559,0.019839642828735782,
short_spread,2018-06-29,16.63003158569336,24.206430435180664,0.6406257689482813,101591.38241000335,2018-07-12,16.850690841674805,24.67340850830078,101791.51799118839,200.13558118503715,0.001970005490990646,
long_spread,2018-09-10,15.894519805908203,23.8837947845459,0.6406257689482813,101595.25478483747,2018-10-31,15.15164852142334,22.50832748413086,102464.41638687324,869.161602035776,0.008555139744238268,
short_spread,2018-12-28,14.7053804397583,20.588579177856445,0.6406257689482813,102274.72421997284,2019-01-23,15.400546073913574,22.539533615112305,105675.85805956277,3401.1338395899365,0.03325488155093693,
short_spread,2019-05-21,16.859622955322266,24.38689613342285,0.6406257689482813,105483.19362614611,2019-08-06,16.555789947509766,24.07771110534668,105841.65306169898,358.45943555286794,0.0033982611184803628,
long_spread,2019-08-12,16.618152618408203,24.312915802001953,0.6406257689482813,105647.92735861584,2019-09-10,17.38202476501465,25.053369522094727,107129.77073174382,1481.8433731279802,0.014026241784166268,
short_spread,2019-10-24,17.63924789428711,25.096925735473633,0.6406257689482813,106938.62320978666,2019-11-07,17.80293846130371,25.645727157592773,107789.27552228665,850.6523124999949,0.007954584480026727,
long_spread,2019-11-22,17.54570960998535,25.62830352783203,0.6406257689482813,107595.7019249839,2019-11-29,17.79513931274414,25.81123924255371,108154.80696820588,559.1050432219781,0.005196351092274932,
long_spread,2020-02-03,17.743608474731445,26.14966583251953,0.6406257689482813,107960.39466303383,2020-03-11,13.886299133300781,20.676067352294922,106549.75018472948,-1410.6444783043553,-0.013066314574962988,
long_spread,2020-03-17,12.375190734863281,17.268310546875,0.6406257689482813,106360.35742336084,2020-03-18,10.911800384521484,16.438447952270508,98657.83629283162,-7702.521130529218,-0.07241909783990108,
long_spread,2020-03-23,10.196011543273926,15.582093238830566,0.6406257689482813,98459.93241717805,2020-05-27,14.61799430847168,22.450572967529297,98900.2753457787,440.3429286006576,0.004472305818116041,
short_spread,2020-06-08,16.43132781982422,24.08382225036621,0.6406257689482813,98706.37716957812,2020-08-03,16.29861068725586,24.417421340942383,100362.18623154293,1655.8090619648137,0.016775097105632034,
long_spread,2020-08-27,16.80718231201172,25.817543029785156,0.6406257689482813,100163.77959175779,2020-10-13,16.791038513183594,25.353809356689453,101637.4521258632,1473.6725341054116,0.01471262905724732,
short_spread,2020-10-23,16.855619430541992,25.068435668945312,0.6406257689482813,101442.1753788832,2021-02-10,20.287803649902344,29.57760238647461,97694.9415252855,-3747.2338535977033,-0.03693960465262015,
long_spread,2021-03-09,20.5157527923584,30.245716094970703,0.6406257689482813,97500.4961236137,2021-04-26,21.476411819458008,31.952116012573242,96606.4583290032,-894.0377946105,-0.009169571747378754,
long_spread,2021-05-20,21.606674194335938,33.71268081665039,0.6406257689482813,96406.50212159609,2021-08-06,21.745441436767578,34.05694580078125,95782.84869127275,-623.6534303233348,-0.0064689975945474085,
long_spread,2021-08-24,21.29963493347168,34.05694580078125,0.6406257689482813,95580.41615118556,2021-09-08,21.671144485473633,33.99335479736328,97278.52706086608,1698.1109096805158,0.017766305882101485,
long_spread,2021-09-28,20.416278839111328,33.157596588134766,0.6406257689482813,97074.48454176578,2021-12-14,20.521026611328125,33.80045700073242,95539.8101072006,-1534.6744345651823,-0.015809246289686933,
long_spread,2022-01-19,20.786394119262695,35.83363342285156,0.6406257689482813,95329.37272766275,2022-02-22,20.632421493530273,34.53645324707031,98223.31214570408,2893.9394180413365,0.03035726906867154,
long_spread,2022-06-09,20.299800872802734,34.30644607543945,0.6406257689482813,98015.04707682643,2022-07-15,18.588300704956055,30.015823364257812,103463.28160649254,5448.234529666108,0.05558569517796239,
short_spread,2022-11-16,20.043954849243164,32.11943435668945,0.6406257689482813,103260.62453363591,2023-02-16,21.42887306213379,33.0694694519043,98963.2453560036,-4297.37917763232,-0.04161682342171483,
long_spread,2023-05-10,20.889551162719727,33.24812316894531,0.6406257689482813,98761.28239708082,2023-06-13,20.813478469848633,32.64435577392578,100070.67537778172,1309.3929807008972,0.013258160980902775,
